,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1076,4341,SUPERIOR TRAIL RACES,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,United States,solo,165.0,6100.0,-6400.0,0,88,USA,2013,09,06,88,226.0,0.26991150442477874
1077,4302,WASATCH FRONT 100 MILE ENDURANCE RUN,WASATCH FRONT 100 MILE ENDURANCE RUN,United States,solo,161.0,8215.0,-7965.0,0,205,USA,2013,09,06,205,243.15,0.3378572897388443
1078,4945,IDAHO MOUNTAIN TRAIL ULTRA FESTIVAL,100 MILE,United States,solo,161.5,6810.0,-6810.0,0,19,USA,2013,08,30,19,229.6,0.29660278745644597
1079,3940,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,France,solo,167.7,9618.0,-9618.0,0,1687,FRA,2013,08,30,1687,263.88,0.3644838562983175
1080,4285,CASCADE CREST 100 MILE ENDURANCE RUN,CASCADE CREST 100 MILE ENDURANCE RUN,United States,solo,161.0,6700.0,-6700.0,0,117,USA,2013,08,24,117,228.0,0.29385964912280704
1081,6807,THE GREAT NASEBY WATER RACE,THE GREAT NASEBY WATER RACE - 160KM,New Zealand,solo,162.7,2350.0,-2350.0,0,28,NZL,2013,08,24,28,186.2,0.12620837808807733
1082,4296,Le Grand Raid Des Pyrénées,GRP160 Ultra,France,solo,161.0,9766.0,-9766.0,0,434,FRA,2013,08,23,434,258.65999999999997,0.3775612773525091
1083,6859,Mystery Ranch Ultra Challenge,Ghosts Of Yellowstone 100M,United States,solo,161.0,8690.0,-8690.0,0,12,USA,2013,08,23,12,247.9,0.35054457442517145
1084,4711,Ultra Tour Des 4 Massifs,Ut4M 160,France,solo,167.8,10120.0,-10110.0,0,196,FRA,2013,08,23,196,269.0,0.3762081784386617
1086,4126,Centurion North Downs Way 100,Centurion North Downs Way 100,United Kingdom,solo,161.0,3030.0,-3070.0,0,97,GBR,2013,08,10,97,191.3,0.15838996340825928
