,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,frequency_in_ranking,year
17,68575,Terres Monviso,100 Miglia Monviso,Saluzzo,Italy,2021-07-23,21:00:00,solo,168.8,8380.0,-8380.0,17,300,157,2021
18,69019,The Gax 100 miles,The Gax 100 miles Tuesday,Ystad,Sweden,2021-07-20,00:00:00,solo,162.3,1500.0,-1500.0,3,50,27,2021
19,67244,Tahoe Rim Trail Endurance Runs 100M/50M/55K,100 Mile,Carsoncity,United States,2021-07-17,05:00:00,solo,161.1,6170.0,-6160.0,7,300,100,2021
20,68776,Ultra Tour des 4 Massifs,Ut4M 160 Xtrem,Grenoble,France,2021-07-16,18:00:00,solo,179.1,11290.0,-11350.0,17,473,473,2021
21,68778,Ultra Tour des 4 Massifs,Ut4M 160 Challenge,Grenoble,France,2021-07-15,08:00:00,solo,173.1,11810.0,-11710.0,12,545,545,2021
22,67515,Brisbane Trail Ultra,Brisbane Trail Ultra 100 mile,Brisbane,Australia,2021-07-10,02:00:00,solo,160.5,7580.0,-7610.0,7,50,42,2021
23,70168,Centurion Wendover Woods 100,Wendover Woods 100,Wendover,United Kingdom,2021-07-09,08:00:00,solo,168.0,6610.0,-6600.0,19,120,18,2021
24,67118,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,2021-07-09,20:00:00,solo,163.2,8650.0,-8630.0,13,100,8,2021
25,67402,NUTS Ylläs Pallas,160K,Äkäslompolo,Finland,2021-07-09,12:00:00,solo,164.3,4020.0,-4100.0,8,250,127,2021
26,71066,ULTRA 01,Ultra 01 170 KM,Oyonnax,France,2021-07-09,18:00:00,solo,174.9,7590.0,-7590.0,15,500,127,2021
27,64191,Val d’Aran by UTMB®,VDA,Vielha,Spain,2021-07-09,18:00:00,solo,162.9,10690.0,-10690.0,14,1500,944,2021
28,69065,Austria Backyard Ultra,24 LOOPS,Frankenmarkt,Austria,2021-07-03,09:00:00,solo,160.7,2570.0,-2570.0,24,200,7,2021
29,68416,Western States Endurance Run,Western States Endurance Run,Auburn,United States,2021-06-26,05:00:00,solo,161.0,5850.0,-7360.0,20,369,315,2021
30,69919,Jurassic Coast 100,Jurassic Coast 100M,Swanage,United Kingdom,2021-06-19,08:00:00,solo,168.2,4740.0,-4680.0,9,100,50,2021
31,68874,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,Loudonville,United States,2021-06-19,05:00:00,solo,158.9,3700.0,-3700.0,19,199,199,2021
32,68354,Ultra Trail Gaspesia 100,100 miles,Percé,Canada,2021-06-19,05:00:00,solo,159.0,4130.0,-4130.0,21,40,17,2021
33,70181,MARATON VIA TRANSILVANICA,VIA TRANSILVANICA ULTRAMARATON,PiatraFântânele,Romania,2021-06-18,18:00:00,solo,161.8,5410.0,-4950.0,8,50,41,2021
34,71777,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,2021-06-11,16:00:00,solo,159.2,7330.0,-7330.0,9,85,37,2021
35,71778,Oh Meu Deus,OH MEU DEUS 160 TEAM,Seia,Portugal,2021-06-11,16:00:00,team,159.2,7330.0,-7330.0,9,5,2,2021
36,69315,Salomon Hengill Ultra-Trail ©,100miles,Hveragerdi,Iceland,2021-06-04,14:00:00,solo,161.7,5530.0,-5550.0,10,200,16,2021
37,64849,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,2021-06-04,12:00:00,solo,165.0,7046.0,-7047.0,10,150,36,2021
38,69395,TransPenedaGerês,TPG 168k Race of the 4 Castles,Melgaço,Portugal,2021-06-03,16:00:00,solo,166.2,9360.0,-8540.0,6,127,127,2021
39,63925,Chester Ultra 50,Chester Ultra 100,chester,United Kingdom,2021-05-29,06:00:00,solo,167.0,1540.0,-1550.0,10,150,45,2021
40,67033,Grand Trail Des Lacs Et Chateaux (GTLC),GT160,Waimes,Belgium,2021-05-29,04:00:00,solo,165.3,6200.0,-6200.0,0,200,184,2021
41,71209,WHW & Ben Nevis Race,WHW & Ben Nevis Race,FortWilliam,United Kingdom,2021-05-29,11:00:00,solo,165.4,5110.0,-5080.0,9,30,11,2021
42,66105,Bryce Canyon,Bryce Canyon 100 Mile,Hatch,United States,2021-05-28,05:00:00,solo,157.1,4310.0,-4310.0,15,300,223,2021
43,66840,Festiwal Biegowy ULTRA WAY,PORANEK NA PLAZY 160 km+,Rumia,Poland,2021-05-28,12:00:00,solo,163.3,3020.0,-3030.0,7,200,43,2021
44,67410,NUTS Karhunkierros,166K,Kuusamo,Finland,2021-05-28,14:00:00,solo,169.6,3910.0,-3940.0,7,250,133,2021
45,68605,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,2021-05-22,10:00:00,solo,163.0,4230.0,-4310.0,6,150,71,2021
46,71293,Mac Mac Ultra,100m,Pretoria,South Africa,2021-05-21,12:00:00,solo,156.8,6300.0,-6540.0,14,24,24,2021
47,65183,Ultra-Trail® Malopolska,UTM 170,KasinkaMala,Poland,2021-05-21,17:00:00,solo,171.8,8640.0,-8640.0,8,50,14,2021
48,64771,The Old Forest Hanmer 100,100mile,HanmerSprings,New Zealand,2021-05-14,10:00:00,solo,,,,16,23,23,2021
49,66949,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,2021-05-13,20:00:00,solo,169.2,4060.0,-4060.0,9,50,18,2021
50,67422,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2021-05-08,09:00:00,solo,161.3,3210.0,-3160.0,13,300,188,2021
51,70708,Hubert 100,Hubert 100M,Hawker,Australia,2021-05-08,10:00:00,solo,157.7,2430.0,-2430.0,8,150,39,2021
52,67736,The Dales High Way,Dales High Way + High Cup Nick,Saltaire,United Kingdom,2021-05-08,08:30:00,solo,166.2,4430.0,-4380.0,8,200,4,2021
53,68042,Gulag-100,Gulag-100,Litochoro,Greece,2021-05-07,12:00:00,solo,167.1,14260.0,-14260.0,4,40,10,2021
54,70440,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Zalesie,Poland,2021-05-01,06:00:00,solo,164.5,6610.0,-6620.0,8,100,35,2021
55,70255,Bó Trail,Bó Trail 170K,yibin,China,2021-05-01,09:00:00,solo,161.7,8440.0,-8440.0,13,100,2,2021
56,69334,Yarikan100,Yarikan100,Ishikawa,Japan,2021-05-01,06:00:00,solo,164.7,8700.0,-8700.0,22,63,63,2021
57,71184,Sengenyama 100,4th Sengenyama 100 (mile),Hayama,Japan,2021-04-24,05:00:00,solo,166.4,6110.0,-6110.0,8,50,29,2021
58,70681,Mt. Fuji 100 Mile Challenge,100 mile,Fuji,Japan,2021-04-23,11:00:00,solo,161.9,7340.0,-7380.0,4,80,60,2021
59,71704,Tamba 100 Adventure Trail,Tamba 100 Adventure Trail,Tamba,Japan,2021-04-23,06:00:00,solo,162.7,9200.0,-9200.0,13,100,8,2021
60,69319,Ultra-Trail® Drakensberg,UTD 160,Underberg,South Africa,2021-04-23,10:00:00,solo,171.6,5160.0,-6500.0,12,52,52,2021
61,69523,Jiangnan 100 Mile,100Mile,Ningbo,China,2021-04-16,14:00:00,solo,161.0,7060.0,-7060.0,13,594,594,2021
62,65403,Zion,Zion 100,Virgin,United States,2021-04-10,05:00:00,solo,160.8,2830.0,-2880.0,15,250,160,2021
63,68615,Patagonia Run,100 Miles,SanMartinDeLosAndes,Argentina,2021-04-09,10:00:00,solo,163.7,8140.0,-8140.0,15,280,238,2021
64,69758,Ultra Trail Jinan,168km,jinan,China,2021-04-09,16:00:00,solo,161.5,10810.0,-10790.0,16,100,21,2021
65,70118,QLG168,QLG168,QUZHOU,China,2021-04-02,16:30:00,solo,168.0,10740.0,-10740.0,10,10,7,2021
66,66689,Volcano UltraMarathon Extreme,Volcano 100 Millas,,Costa Rica,2021-03-30,06:30:00,solo,160.5,6440.0,-6560.0,13,50,19,2021
67,71992,Antelope Island Buffalo Run,100 mile,Syracuse,United States,2021-03-26,10:00:00,solo,162.0,2200.0,-2200.0,16,400,55,2021
68,68098,Kullamannen 2021 Covid-19,Kullamannen 100 miles,Kullaberg,Sweden,2021-03-26,09:00:00,solo,163.6,1910.0,-1930.0,4,600,10,2021
69,71140,Northburn 100 Miler,100 Mile,Cromwell,New Zealand,2021-03-20,06:00:00,solo,161.4,9460.0,-9470.0,12,50,46,2021
70,68348,UTTGN Sport HG | TARRAGONA,Gran Trail Catalunya,Tarragona,Spain,2021-03-05,22:00:00,solo,169.8,5160.0,-5160.0,13,50,20,2021
71,64671,Victoria 162,V162 Virtual,HongKong,"Hong Kong, China",2021-02-27,00:00:00,solo,166.7,7700.0,-7700.0,0,200,22,2021
72,71220,Run Lovit,100M,,United States,2021-02-26,00:00:00,solo,,,,0,30,30,2021
73,64661,Victoria 162,3-day Race Virtual,HongKong,"Hong Kong, China",2021-02-26,08:00:00,solo,165.9,8320.0,-8340.0,0,100,18,2021
74,68501,Storstenshöjden 100 miles,Storstenshöjden 100 miles,Örebro,Sweden,2021-02-19,06:00:00,solo,168.4,11550.0,-11530.0,0,50,3,2021
75,64219,Tarawera Ultramarathon,100 Miler,Rotorua,New Zealand,2021-02-13,04:00:00,solo,165.4,5510.0,-5520.0,14,300,194,2021
76,65413,HOKA ONE ONE Rocky Raccoon,100 Mile,Huntsville,United States,2021-02-06,06:00:00,solo,160.9,2200.0,-2200.0,19,500,369,2021
77,69001,Coldwater Rumble,100 Miles,Goodyear,United States,2021-01-16,07:00:00,solo,161.8,2660.0,-2670.0,16,600,85,2021
78,64103,The Great Southern Alps Miler,The Great Southern Alps Miler,HanmerSprings,New Zealand,2021-01-15,07:00:00,solo,160.3,3180.0,-3300.0,8,2,2,2021
79,68010,UTCL100,UTCL 100 Miles,Bogor,Indonesia,2021-01-09,06:00:00,solo,161.0,6420.0,-6410.0,18,30,6,2021
80,67526,UTSZ 2020 Trail Races,UTSZ 100 miles,Shenzhen,China,2020-12-26,04:30:00,solo,162.6,6610.0,-6630.0,8,50,8,2020
81,68562,Run Guizhou League Finals,Luodian168KM,Luodian,China,2020-12-25,14:00:00,solo,167.7,9770.0,-9770.0,15,50,23,2020
82,64575,Mad Fox Ultra Rise,Valhalla Race,PereslavlZalesskiy,Russia,2020-12-19,16:00:00,solo,167.5,1200.0,-1200.0,10,168,168,2020
83,64037,Around The Valley - Sovev Emek,sovev emek 166km,ainhasofet,Israel,2020-12-10,06:00:00,solo,172.9,3840.0,-3840.0,18,300,7,2020
84,68007,Falls 100 Ultra Trail Race,Falls 100 - 100 Mile,FallsofRough,United States,2020-12-05,07:00:00,solo,164.5,4310.0,-4310.0,24,250,42,2020
85,58877,Blood Rock 100 Mile Endurance Trail Race,100 Mile,Pelham,United States,2020-12-04,12:00:00,solo,161.9,7610.0,-7610.0,16,200,48,2020
86,67289,Sky Ultra Pico Mx,SKY ULTRA PICO MX 100M,ORIZABA,Mexico,2020-12-04,00:01:00,solo,160.2,8660.0,-8660.0,15,75,49,2020
87,67634,Ultra Trail Three Gorges,UTTG,Yichang,China,2020-11-26,18:00:00,solo,170.8,10470.0,-10320.0,13,200,71,2020
88,56323,Best of San Diego 100 Miler,100 Miler,SanDiego,United States,2020-11-21,05:00:00,solo,160.9,2590.0,-2590.0,5,5,5,2020
89,64481,Panda Trail by UTMB®,DPT,Dujiangyan,China,2020-11-20,18:00:00,solo,157.8,9280.0,-9280.0,12,152,152,2020
90,68472,Sengenyama 100,Sengenyama 100,Hayama,Japan,2020-11-14,05:00:00,solo,166.4,6100.0,-6100.0,4,50,27,2020
91,68239,Jiangnan 100 Mile,100Mile - November,Ningbo,China,2020-11-13,14:00:00,solo,160.5,7060.0,-7060.0,13,335,335,2020
92,59437,Pinhoti 100,Pinhoti 100,Sylacauga,United States,2020-11-07,07:00:00,solo,155.0,4060.0,-4180.0,17,250,207,2020
93,62737,Rim to River Endurance Company,Rim to River 100,OakHill,United States,2020-11-07,06:30:00,solo,160.9,3760.0,-3750.0,8,250,139,2020
94,69754,Tunnel Hill  100 & 50 mile runs,100mi,Vienna,United States,2020-11-07,07:00:00,solo,161.4,1690.0,-1690.0,21,36,36,2020
95,67282,Pong Yaeng Trail,Pong Yaeng Trail 166,ChiangMai,Thailand,2020-11-06,10:00:00,solo,167.5,8280.0,-8060.0,14,200,138,2020
96,59805,Javelina Jundred,100 Miles,FortMcDowell,United States,2020-10-31,06:00:00,solo,160.5,1720.0,-1720.0,26,800,160,2020
97,68633,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,Loudonville,United States,2020-10-31,05:00:00,solo,156.0,3630.0,-3620.0,19,82,82,2020
98,67406,Halloween hike,160 km,Kannonkoski,Finland,2020-10-30,19:00:00,solo,160.3,2110.0,-2110.0,5,2,2,2020
99,62531,THAILAND BY UTMB,Inthanon 6,ChomThong,Thailand,2020-10-30,10:00:00,solo,159.6,7340.0,-7340.0,15,500,80,2020
100,62021,Cactus Rose,100 Mile,Bandera,United States,2020-10-24,05:00:00,solo,162.4,3500.0,-3500.0,20,550,61,2020
101,67723,EstrelAçor Ultra Endurance,EA Penhas Manteiga 2020,PenhasdaSaúde,Portugal,2020-10-23,11:00:00,solo,157.8,6910.0,-7600.0,0,80,7,2020
102,62193,Cloudsplitter 100,100 Mile,Norton,United States,2020-10-17,08:00:00,solo,157.5,5610.0,-5610.0,16,100,26,2020
103,67914,Shanhaiguan Trail Race,168K,qinhuangdao,China,2020-10-17,04:00:00,solo,162.0,9320.0,-9070.0,14,100,25,2020
104,56017,Mines of Spain,100 Mile,Davenport,United States,2020-10-16,08:00:00,solo,167.5,4310.0,-4320.0,19,98,98,2020
105,51397,Bèrghem Ultra,Åkersætra 666 m.o.h.,Hamar,Norway,2020-10-10,08:00:00,solo,163.2,2970.0,-3360.0,0,50,7,2020
106,56693,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2020-10-10,09:00:00,solo,161.5,2060.0,-2060.0,16,250,151,2020
107,58579,Midstate Massive Ultra Trail,Midstate Massive Ultra Trail,NewIpswitch,United States,2020-10-10,00:00:00,solo,163.6,3720.0,-3980.0,16,125,91,2020
108,49589,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2020-10-08,10:00:00,solo,160.7,1610.0,-1610.0,13,180,52,2020
109,52607,Brisbane Trail Ultra,Brisbane Trail Ultra 100 mile,Brisbane,Australia,2020-10-03,05:00:00,solo,160.4,7550.0,-7590.0,7,50,10,2020
110,54013,SPARNATRAIL,P'tiot Sparnatrail,EPERNAY,France,2019-11-10,07:45:00,solo,33.3,750.0,-750.0,1,1800,693,2019
111,66483,Mt. Wumeng Ultra Trail,KINETIK 165K,Zhaotong,China,2020-10-02,19:00:00,solo,164.1,7440.0,-7090.0,13,80,11,2020
112,62347,North Coast 100,North Coast 110M,Barnstaple,United Kingdom,2020-10-02,07:00:00,solo,174.5,5570.0,-5540.0,8,50,19,2020
113,60243,Schinder-Trail Backyard Ultra,23 Loops,Rettert,Germany,2020-10-02,20:00:00,solo,157.2,3060.0,-3060.0,23,200,7,2020
114,66580,TransPenedaGerês,TPG 160k Race of the 4 Castles,Melgaço,Portugal,2020-10-02,07:00:00,solo,167.4,8010.0,-7200.0,5,87,87,2020
115,61189,Spain Backyard Ultra,Spain Backyard Ultra  24 Loops,CastroCaldelas,Spain,2020-09-26,10:00:00,solo,161.1,6890.0,-6890.0,23,150,7,2020
116,59557,BEAR 100,Bear 100 Endurance Trail Race,Smithfield,United States,2020-09-25,06:00:00,solo,162.7,6460.0,-6130.0,13,300,207,2020
117,66321,Cold Hawaii Ultra,Cold Hawaii Ultra 100 miles,Thisted,Denmark,2020-09-25,18:00:00,solo,162.6,2000.0,-2010.0,6,50,18,2020
118,65591,Mossarun,"Mossarun 2020, 24h/100 miles",Älmhult,Sweden,2020-09-19,12:00:00,solo,171.8,3940.0,-3950.0,0,50,20,2020
119,59995,Sangre de Cristo Ultras,100-Mile,Westcliffe,United States,2020-09-19,04:00:00,solo,168.2,5910.0,-5910.0,13,300,23,2020
120,50041,Dragon 100,Dragon 100,Cardiff,United Kingdom,2020-09-12,18:00:00,solo,165.0,3560.0,-3550.0,11,200,38,2020
121,53559,GUUT100+,GUUT100MILES+,Gentofte,Denmark,2020-09-12,09:00:00,solo,167.4,1610.0,-1620.0,1,20,16,2020
122,67160,IDAHO MOUNTAIN TRAIL ULTRA FESTIVAL,100 Mile,,United States,2020-09-12,00:00:00,solo,,,,0,189,189,2020
123,67713,Pine creek challenge,100Miles,Wellsboro,"PA, United States",2020-09-12,00:00:00,solo,,,,0,73,73,2020
124,62121,Garmin Ultra Race Radków,Challange 158,RADKÓW,Poland,2020-09-11,05:00:00,solo,163.9,5700.0,-5700.0,11,50,43,2020
125,49901,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2020-09-05,09:00:00,solo,161.3,3160.0,-3110.0,13,300,183,2020
126,53999,SwissPeaks Trail,170,LeBouveret,Switzerland,2020-09-03,10:00:00,solo,167.0,11140.0,-12910.0,15,400,268,2020
127,59481,Runfire Salt Lake Ultra,100 Mile,ulukisla,Turkey,2020-08-29,18:00:00,solo,160.1,2770.0,-2770.0,15,32,32,2020
128,58623,Burning River Endurance Run,100 Mile,Hudson,United States,2020-08-22,04:00:00,solo,163.6,2700.0,-2700.0,14,250,83,2020
129,59271,Hardmoors,110 Mi,,United Kingdom,2020-08-22,00:00:00,solo,169.9,3760.0,-3720.0,12,150,108,2020
130,57055,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Zalesie,Poland,2020-08-21,07:00:00,solo,161.6,6510.0,-6510.0,8,100,19,2020
131,54829,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2020-08-21,18:00:00,solo,164.0,7490.0,-7500.0,13,150,50,2020
132,61035,ULTRA 01,Ultra 165km,Oyonnax,France,2020-08-21,18:00:00,solo,167.2,7230.0,-7230.0,8,300,231,2020
133,57587,Salomon Rondane 100,Salomon Rondane 100,Folldal,Norway,2020-08-15,05:00:00,solo,163.6,5450.0,-5440.0,5,93,93,2020
134,54869,Ultra Trail des Sources,Ultra Trail des Sources,Spa,Belgium,2020-08-15,07:00:00,solo,158.8,4500.0,-4500.0,8,200,73,2020
135,65665,Columbia Sanfo Ultra 168-Chongli,UTC,Chongli,China,2020-08-14,17:00:00,solo,161.1,7370.0,-7370.0,15,600,299,2020
136,55265,Sport-Marafon Trail,165 km,Nikola-Lenivets,Russia,2020-08-09,21:00:00,solo,162.5,1450.0,-1450.0,13,25,25,2020
137,62503,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,LINDOME,Sweden,2020-08-08,10:00:00,solo,163.7,3100.0,-3100.0,23,120,3,2020
138,51393,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2020-08-08,06:00:00,solo,168.2,3440.0,-3480.0,14,300,107,2020
139,53939,Halland Ultra-Beach,100 miles,Göteborg,Sweden,2020-08-08,12:00:00,solo,161.7,1740.0,-1750.0,2,50,30,2020
140,66836,INNER MONGOLIA ULTRA MARATHON,Laoniuwan 168km,Hohhot,China,2020-08-08,07:40:00,solo,165.2,4600.0,-4600.0,15,100,61,2020
141,51777,Chiemgauer 100,100 Mile,Bergen,Germany,2020-07-31,13:00:00,solo,,,,9,150,11,2020
142,50051,Infinity Trail Backyard - Normandie,Infinity Trail - 23 boucles,PAVILLY,France,2020-07-31,14:00:00,solo,155.3,5160.0,-5160.0,1,80,2,2020
143,56831,The Gax 100 miles,The Gax 100 miles,Ystad,Sweden,2020-07-25,00:00:00,solo,160.6,1510.0,-1510.0,3,72,41,2020
144,50845,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,2020-07-17,20:00:00,solo,163.2,8650.0,-8630.0,13,100,12,2020
145,66413,Palisades Ultra Trail Series,Moose 100 Mile,Irwin,United States,2020-07-17,05:00:00,solo,,,,14,24,24,2020
146,60049,Silverheels 100-Mile Endurance Run,100 Mile,Fairplay,United States,2020-07-11,04:00:00,solo,166.7,4650.0,-4650.0,24,200,25,2020
147,50803,Nuts Ylläs Pallas,160K,Äkäslompolo,Finland,2020-07-10,12:00:00,solo,165.7,4400.0,-4480.0,10,250,77,2020
148,62705,Huanglong Extreme Endunrance Race,QZG+UTHL100,Huanglong,China,2020-07-03,06:00:00,relay,159.8,7700.0,-8200.0,10,14,14,2020
149,55429,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,2020-06-20,10:00:00,solo,168.6,4670.0,-5140.0,6,150,92,2020
150,50523,Bryce Canyon,100 Mile,Hatch,United States,2020-05-15,00:00:00,solo,157.1,4320.0,-4320.0,13,300,44,2020
151,48383,Jiangnan 100 Mile,100Mile,Ningbo,China,2020-04-10,14:00:00,solo,160.5,7060.0,-7060.0,13,150,1,2020
152,49345,Antelope Canyon,100 Mile,Page,United States,2020-03-14,06:00:00,solo,159.4,1850.0,-1850.0,10,300,36,2020
153,53633,Borneo Ultra-Trail® Marathon,100 Miles,KotaKinabalu,Malaysia,2020-03-14,06:00:00,solo,161.0,7620.0,-7620.0,16,300,159,2020
154,61149,Addo Elephant Trail Run,100 Mile,Addo,South Africa,2020-03-13,14:00:00,solo,161.2,5640.0,-5130.0,16,100,80,2020
155,52827,100 MILLAS® SIERRAS DEL BANDOLERO,100 Millas,PradodelRey,Spain,2020-03-06,18:00:00,solo,161.1,6170.0,-6170.0,14,500,201,2020
156,63235,Chattanooga 100 Mile Trail Race,Chattanooga 100 Mile Trail Race,RisingFawn,United States,2020-03-06,00:00:00,solo,158.1,3770.0,-3770.0,14,250,67,2020
157,57473,Les Traces du Nord Basse-Terre,L'Ultra-Trail®,Petit-Bourg,France,2020-02-28,18:30:00,solo,161.4,6240.0,-6240.0,14,400,10,2020
158,62593,Run Lovit,100M,,United States,2020-02-28,00:00:00,solo,,,,0,28,28,2020
159,51649,Ultra-Trail® Of Taiwan 100 miles,100 miles,Keelung,Taiwan,2020-02-28,02:00:00,solo,158.6,7830.0,-7830.0,10,10,3,2020
160,55551,Ultra Trail Thailand,Inthanon 6,ChomThong,Thailand,2020-02-14,10:00:00,solo,175.0,7850.0,-7850.0,16,100,55,2020
161,59053,Lone Star 100,100M,ElPaso,United States,2020-02-08,05:00:00,solo,158.6,5930.0,-5850.0,9,36,36,2020
162,49059,Tarawera Ultramarathon,100 Miler,Rotorua,New Zealand,2020-02-08,04:00:00,solo,162.4,5200.0,-5220.0,14,300,259,2020
163,51945,Tjörnarparen - Trail Ultra,100 miles,TJÖRNARP,Sweden,2020-02-08,09:00:00,solo,162.1,2300.0,-2330.0,9,50,11,2020
164,57191,Grandmaster Ultras,100 miler,Littlefield,United States,2020-02-07,08:00:00,solo,158.6,1730.0,-1730.0,14,26,26,2020
165,61175,Orcas Island 100 Mile,Orcas Island 100 Mile,Olga,United States,2020-02-07,08:00:00,solo,163.5,7570.0,-7570.0,19,90,52,2020
166,49849,HOKA ONE ONE Rocky Raccoon,100 Mile,Huntsville,United States,2020-02-01,06:00:00,solo,163.1,2260.0,-2260.0,19,500,378,2020
167,53283,LE DERNIER HOMME DEBOUT MORVAN,24 Boucles,Chateau-Chinon,France,2020-01-25,11:50:00,solo,169.9,5740.0,-5740.0,1,350,6,2020
168,57131,Coldwater Rumble,100 Miles,Goodyear,United States,2020-01-18,07:00:00,solo,161.8,2660.0,-2670.0,16,400,61,2020
169,60007,HURT 100,HURT 100 MILE ENDURANCE RUN,,United States,2020-01-18,00:00:00,solo,161.0,8200.0,-8200.0,0,125,125,2020
170,50097,The Great Southern Alps Miler,The Great Southern Alps Miler,HanmerSprings,New Zealand,2020-01-17,07:00:00,solo,,,,8,4,4,2020
171,60495,MONTANE® Spine® Races,MONTANE® Spine® Challenger,Edale,United Kingdom,2020-01-11,08:00:00,solo,174.2,4770.0,-4770.0,4,125,110,2020
172,60491,MONTANE® Spine® Races,MRT Challenge,Edale,United Kingdom,2020-01-11,11:00:00,solo,174.2,4770.0,-4770.0,4,30,25,2020
173,44291,S1 Trail La Corsa Della Bora,Ultra,TRIESTE,Italy,2020-01-04,06:00:00,solo,166.3,6750.0,-7110.0,9,150,105,2020
174,49431,GOLDEN 100 HONG KONG,100Miles,HongKong,"Hong Kong, China",2019-12-27,20:00:00,solo,163.0,9180.0,-9130.0,16,55,55,2019
175,45417,UTSZ Trail Races,100Miles,shenzhen,China,2019-12-21,04:30:00,solo,166.6,8110.0,-8120.0,16,100,17,2019
176,65861,Loup Garou 100 Mile Trail Run,100M,VillePlatte,"LA, United States",2019-12-14,00:00:00,solo,,,,0,48,48,2019
177,48861,Mad Fox Ultra Revenge,Valhalla Race,PereslavlZalesskiy,Russia,2019-12-14,16:00:00,solo,156.2,1650.0,-1650.0,10,200,100,2019
178,58259,La Misión  - VLA - Argentina,La Misión 160 VLA -,VillalaAngostura,Argentina,2019-12-12,09:00:00,solo,163.3,7240.0,-7240.0,1,100,48,2019
179,43585,Brazos Bend 100,100M,Needville,United States,2019-12-07,06:00:00,solo,162.3,2730.0,-2720.0,6,205,205,2019
