,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
387,33013.0,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",2018-11-30,18:00:00,solo,169.1,10490.0,-10490.0,14.0,300.0
388,42815.0,Best of San Diego 100 Miler,100 Miler,SanDiego,United States,2018-11-24,06:00:00,solo,163.1,2340.0,-2340.0,5.0,0.0
389,42299.0,Louceni,173 km,UstinadLabem,Czech Republic,2018-11-23,05:30:00,solo,172.3,6400.0,-6560.0,9.0,0.0
390,34951.0,Ultra-Trail® Three Gorges,169 Km,Yichang,China,2018-11-22,20:00:00,solo,171.4,10140.0,-10000.0,15.0,200.0
392,31309.0,Oman Desert Marathon,Oman Desert Marathon,Bidiyah,Oman,2018-11-17,06:30:00,solo,163.7,3850.0,-4200.0,13.0,99.0
393,38477.0,Tunnel Hill  100 & 50 mile runs,100mi,Vienna,United States,2018-11-10,07:00:00,solo,161.4,1570.0,-1560.0,21.0,0.0
394,36627.0,Pong Yaeng Trail,Pong Yaeng Trail 166,ChiangMai,Thailand,2018-11-09,10:00:00,solo,164.9,7830.0,-7830.0,17.0,150.0
395,35903.0,Feral Pig Ultra,Feral Pig 100 Mile,Mundaring,Australia,2018-11-03,00:00:00,solo,163.3,4070.0,-4200.0,15.0,30.0
397,40399.0,PINHOTI 100,100 MILES,Sylacauga,United States,2018-11-03,00:00:00,solo,161.9,4930.0,-5060.0,0.0,0.0
399,35645.0,Bhatti Lakes Ultra,160 Km,Faridabad,India,2018-11-02,06:00:00,solo,160.1,1020.0,-1020.0,0.0,20.0
400,33797.0,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,2018-11-02,19:00:00,solo,169.3,7530.0,-7530.0,15.0,40.0
401,29415.0,Kullamannen,100 miles,Kullaberg,Sweden,2018-11-02,07:00:00,solo,161.8,4310.0,-4280.0,14.0,320.0
